D0,QD,FN0,QFN,T0,gamma,Nc,realisation,temperature,stress,time_to_tertiary,strain_to_tertiary,time_to_failure,strain_to_failure
4.722e-07,91750.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,3855120.8076096,0.028455094686139,5583120.8076096,0.040925840509312
4.722e-07,91750.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,1407120.8076096,0.011263225101908,1983120.8076096,0.015756170740132
4.722e-07,91750.0,8711000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030451245061516,11199120.80761,0.080791673772439
4.722e-07,91750.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,2991120.8076096,0.022423504753701,3855120.8076096,0.028814515339647
4.722e-07,91750.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,975120.80760956,0.0081798247558405,1407120.8076096,0.011567774732673
4.722e-07,91750.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030454195872021,9039120.8076096,0.065172859682909
1.574e-07,110100.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.03044969316623,10623120.80761,0.07658061812418
4.722e-07,91750.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,2415120.8076096,0.018385170713623,3135120.8076096,0.023854441422253
4.722e-07,91750.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,687120.80760956,0.0061006949318059,1119120.8076096,0.0093678035774334
4.722e-07,73400.0,4356000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,3855120.8076096,0.028457662351457,6591120.8076096,0.047938997287133
4.722e-07,73400.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,1695120.8076096,0.013316862093113,2271120.8076096,0.01755688869108
4.722e-07,73400.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,543120.80760956,0.0050659858912081,859920.80760956,0.0081680971136135
4.722e-07,73400.0,8711000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,3279120.8076096,0.024444072410069,4575120.8076096,0.03380605978689
4.722e-07,73400.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,1119120.8076096,0.0092176368750668,1695120.8076096,0.01386782416442
4.722e-07,73400.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,266110.53840637,0.003017787773025,571920.80760956,0.0057177641761332
4.722e-07,73400.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,2703120.8076096,0.020413189329198,3711120.8076096,0.02777794771837
4.722e-07,73400.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,831120.80760956,0.0071477073674764,1407120.8076096,0.011895918050725
1.574e-07,110100.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,2847120.8076096,0.021409250026149,3567120.8076096,0.026619973046811
4.722e-07,73400.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,266110.53840637,0.003025484333054,427920.80760956,0.0044429686245822
1.574e-07,91750.0,4356000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030445133266652,14943120.80761,0.10877565911774
1.574e-07,110100.0,4356000000.0,97730.0,254.0,0.3711,0.0002991,0,700,142,1119120.8076096,0.026805461870429,4575120.8076096,0.1076830760648
1.574e-07,110100.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,0,700,142,1119120.8076096,0.026808122027505,4575120.8076096,0.1076957653915
1.574e-07,91750.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,0,700,142,1119120.8076096,0.026813912878306,3999120.8076096,0.09385653343108
1.574e-07,91750.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,0,700,142,975120.80760956,0.02359152008547,1421520.8076096,0.034668962777926
1.574e-07,91750.0,8711000000.0,97730.0,254.0,0.3711,0.0002991,0,700,142,1119120.8076096,0.026809499449782,4575120.8076096,0.10770110081986
1.574e-07,91750.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,0,700,142,1119120.8076096,0.02681834355935,2847120.8076096,0.066784357312418
1.574e-07,91750.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,0,700,142,687120.80760956,0.017091618044556,989520.80760956,0.025136145745536
1.574e-07,91750.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,0,700,142,1119120.8076096,0.026810506267446,4575120.8076096,0.10770963213429
